Etablissement,Pays,Type,Signal,Date_Signal,Source_URL,Source_Type,Score_ICP,Tier,Contact_Nom,Contact_Fonction,Action,Priorite,Section,Cert_IA_Candidate
"Paris School of Business",France,"Ecole de commerce","Triple accreditation EQUIS/AACSB/AMBA + AMBA MBA part-time",2026-Q2,"https://www.planetegrandesecoles.com/paris-school-of-business-triple-couronne-equis-amba-aacsb","Tier 1 x2",78,"Tier 1","A enrichir","Directeur Pedagogique","LinkedIn DM + one-pager Tosa & accreditations",moyenne,"Section 1","Non"
"Universite Virtuelle de Cote d'Ivoire (UVCI)","Cote d'Ivoire","Universite virtuelle","Lancement Africa Connect Digital Campus (ACDC) - 4M EUR UE",2026-03-12,"https://www.ird.fr/lancement-du-projet-africa-connect-digital-campus-acdc-en-cote-divoire","Institutionnel x3",68,"Tier 3","A enrichir","Directeur UVCI","Demande connexion LinkedIn + email court FR",moyenne,"Section 1","Non"
"SKEMA Business School","France","Ecole de commerce","Lancement Bachelor IA & Management - rentree sept 2026 (80 etudiants)",2026-01-19,"https://www.skema.edu/fr/communique-de-presses/skema-business-school-lance-son-premier-bachelor-en-trois-ans","Officiel + Tier 1 x2",72,"Tier 1","A enrichir","Responsable Bachelor IA & Management","LinkedIn note connexion + repris Section 4",haute,"Section 1","Beta"
"Universite de Technologie de Troyes (UTT)",France,"Universite tech","Bachelor IA - cursus 3 ans","Date a verifier","https://www.letudiant.fr/etudes/lactu-des-formations-de-nouveaux-cursus-en-ia-dans-le-superieur.html","Tier 1 unique",64,"Tier 1","A enrichir","Responsable Bachelor IA","A croiser site UTT + LinkedIn avant contact",moyenne,"Section 1","Beta"
"IONIS Education Group",France,"Groupe ecoles","EPITA IA Institut + positionnement IA generative",2026-Q1,"https://www.letudiant.fr/etudes/ecoles-specialisees/l-epita-ia-institut-vient-repondre-aux-enjeux-de-l-intelligence-artificielle.html","Tier 1",N/A,"Tier 1","Yannick Lejeune","CDO","Email Cert IA - co-construction EPITA IA Institut",haute,"Section 3","Beta"
"IAE Aix-Marseille",France,"IAE","Communication M-C. Chalus IAE France sur differenciation IAE",2026-Q2,"https://www.letudiant.fr/educpros/entretiens/m-c-chalus-iae-france-je-veux-mettre-en-valeur-notre-place-differenciee-dans-lecosysteme.html","Tier 1",N/A,"Tier 1","Sebastien Dereeper","Contact IAE","Email avant vendredi 22 mai - point 30 min plan septembre",haute,"Section 3","Non"
"emlyon business school",France,"Ecole de commerce","Tech School ProPulse + AI referent + Mistral AI",2026-Q1,"https://www.mondedesgrandesecoles.fr/les-nouveautes-demlyon-pour-2026/","Tier 1 x3",N/A,"Tier 1","Compte actif","Contact Tosa","Appel telephonique lundi 25 mai - 3 opportunites",haute,"Section 3","Pilote"
"SKEMA Business School","France","Ecole de commerce","Bachelor IA & Management rentree sept 2026 - 60% techno IA",2026-01-19,"https://www.skema.edu/fr/communique-de-presses/skema-business-school-lance-son-premier-bachelor-en-trois-ans","Officiel + Tier 1 x2",84,"Tier 1","A enrichir","Directeur School of Professional Studies","LinkedIn note connexion - partenaire de lancement Cert IA",haute,"Section 4","Beta"
"Ecole polytechnique",France,"Grande ecole d'ingenieur","MSc&T LLGA (LLM Graphs Applications) rentree sept 2026",2026-Q1,"https://www.polytechnique.edu/en/news/llga-new-msct-track-focused-creating-value-through-ai-businesses","Officiel + Tier 1",82,"Tier 1","A enrichir","Directeur MSc&T LLGA","Email FR/EN - validation Cert IA par programme rang mondial",haute,"Section 4","Beta"
"aivancity",France,"Grande ecole IA","MSc IA Generatives - Prix Eduniversal 2026 IA",2026-Q1,"https://www.aivancity.ai/etudiant-et-professionnel/programme/msc-intelligences-artificielles-generatives","Officiel + Tier 1",80,"Tier 1","A enrichir","Direction academique","LinkedIn DM + email - partenaire lancement strategique",haute,"Section 4","Beta"
"PSL Universite",France,"Universite","Master IA & Societe (cluster PR[AI]RIE-PSAI 75M EUR)",2026-Q1,"https://psl.eu/en/education/master-s-degree-artificial-intelligence-and-society","Officiel + Tier 1",72,"Tier 1","A enrichir","Direction Master IA & Societe","Email court - angle litteratie IA et SHS",moyenne,"Section 4","Beta"
"emlyon business school",France,"Ecole de commerce","Tech School ProPulse - programme AI referent",2026-Q1,"https://business-cool.com/actualites/actu-ecoles/diriger-un-monde-en-mutation-emlyon-ouvre-une-ecole-de-la-tech-deploie-une-expertise-en-risques-globaux-et-etend-son-influence-internationale/","Tier 1 x3",78,"Tier 1","Compte actif","Contact Tosa + Directeur ProPulse","Appel lundi 25 mai - pilote payant AI referent",haute,"Section 4","Pilote"
